sym,minute,avgMid,avgSpread,avgSpreadBps,quoteCount
AAPL,00:00,185.4999,0.03471563,1.871457,3536
AAPL,00:05,185.5178,0.03501513,1.887406,3496
AAPL,00:10,185.4995,0.03484679,1.87857,3441
AAPL,00:15,185.5052,0.03467096,1.869087,3538
AAPL,00:20,185.4948,0.03510082,1.892335,3496
AAPL,00:25,185.4924,0.03525344,1.900514,3609
AAPL,00:30,185.5076,0.03495506,1.884366,3491
AAPL,00:35,185.4967,0.03554645,1.916296,3415
AAPL,00:40,185.4832,0.0347765,1.875018,3554
AAPL,00:45,185.5012,0.03495399,1.884362,3407
AAPL,00:50,185.4985,0.03490555,1.881718,3541
AAPL,00:55,185.4874,0.03516492,1.895866,3460
AAPL,01:00,185.4988,0.03527714,1.901821,3447
AAPL,01:05,185.5054,0.03474917,1.873224,3571
AAPL,01:10,185.4979,0.03509362,1.891844,3431
AAPL,01:15,185.4865,0.03481854,1.877139,3537
AAPL,01:20,185.5022,0.03460236,1.865391,3470
AAPL,01:25,185.4893,0.03544066,1.910673,3497
AAPL,01:30,185.5103,0.03521164,1.898112,3468
AAPL,01:35,185.4931,0.03505991,1.890147,3484
AAPL,01:40,185.4899,0.03469251,1.870291,3435
AAPL,01:45,185.4911,0.03497205,1.885388,3524
AAPL,01:50,185.505,0.03511359,1.892783,3582
AAPL,01:55,185.5071,0.034476,1.858445,3479
AAPL,02:00,185.4869,0.03476916,1.874484,3384
AAPL,02:05,185.5058,0.03448306,1.858896,3445
AAPL,02:10,185.4982,0.03508875,1.8916,3596
AAPL,02:15,185.5066,0.03517526,1.896192,3386
AAPL,02:20,185.486,0.03487873,1.880343,3475
AAPL,02:25,185.5061,0.03474983,1.873259,3593
AAPL,02:30,185.5001,0.03516411,1.895673,3382
AAPL,02:35,185.496,0.03498014,1.885774,3435
AAPL,02:40,185.5131,0.03496583,1.884821,3503
AAPL,02:45,185.5154,0.03543526,1.910157,3514
AAPL,02:50,185.5088,0.03457583,1.863801,3407
AAPL,02:55,185.481,0.03474103,1.873057,3452
AAPL,03:00,185.4867,0.03482381,1.877421,3502
AAPL,03:05,185.5091,0.03507924,1.890995,3438
AAPL,03:10,185.4949,0.03496342,1.884925,3492
AAPL,03:15,185.5106,0.03493777,1.883397,3443
AAPL,03:20,185.5011,0.03488688,1.880713,3503
AAPL,03:25,185.4928,0.03518649,1.896923,3544
AAPL,03:30,185.5046,0.03533412,1.904794,3455
AAPL,03:35,185.4889,0.03531768,1.904059,3505
AAPL,03:40,185.5143,0.03506657,1.890264,3490
AAPL,03:45,185.5006,0.03488444,1.88056,3470
AAPL,03:50,185.5044,0.03469414,1.870284,3462
AAPL,03:55,185.5172,0.03528814,1.902145,3551
AAPL,04:00,185.4939,0.03537704,1.907226,3418
AAPL,04:05,185.5026,0.03436991,1.852751,3492
AAPL,04:10,185.5024,0.03499094,1.88626,3392
AAPL,04:15,185.4959,0.03489058,1.880974,3458
AAPL,04:20,185.5001,0.03464359,1.867591,3506
AAPL,04:25,185.4899,0.03516849,1.895931,3490
AAPL,04:30,185.5046,0.03491605,1.882302,3496
AAPL,04:35,185.5093,0.03508038,1.891075,3489
AAPL,04:40,185.4954,0.03484374,1.878427,3423
AAPL,04:45,185.516,0.03514841,1.894711,3494
AAPL,04:50,185.4997,0.03506637,1.890407,3517
AAPL,04:55,185.5035,0.03508794,1.891559,3495
AAPL,05:00,185.4965,0.03520692,1.897949,3356
AAPL,05:05,185.5055,0.03505001,1.889396,3484
AAPL,05:10,185.488,0.03490168,1.881638,3393
AAPL,05:15,185.4974,0.03525007,1.900341,3485
AAPL,05:20,185.5072,0.03508473,1.891247,3422
AAPL,05:25,185.5063,0.03506211,1.890126,3473
